"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
benefitfactorupldstage,benefitFactorUpldHeaderID,bnftFctrpldStg_bnftFctrpldHdr1,benefitfactorupldheader,benefitFactorUpldHeaderID
benefitplan,productVersionID,bnftPln_prdct1,product,productVersionID
benefitplancode,benefitPlanVersionID,bnftPlnCd_bnftPln1,benefitplan,benefitPlanVersionID
benefitplanstate,benefitPlanVersionID,bnftPlnStt_bnftPln1,benefitplan,benefitPlanVersionID
benefitplantradingcostshare,benefitPlanTradingPartnerID,bnftPlnTrdngCstShr_bnftPlnTrdngPrtnr1,benefitplantradingpartner,benefitPlanTradingPartnerID
benefitplantradingcostshare,benefitPlanVersionID,bnftPlnTrdngCstShr_bnftPln1,benefitplan,benefitPlanVersionID
benefitplantradingcostshare,tradingPartnerProfileID,bnftPlnTrdngCstShr_trdngPrtnrPrfl1,tradingpartnerprofile,tradingPartnerProfileID
benefitplantradingded,benefitPlanTradingPartnerID,bnftPlnTrdngDd_bnftPlnTrdngPrtnr1,benefitplantradingpartner,benefitPlanTradingPartnerID
benefitplantradingded,benefitPlanVersionID,bnftPlnTrdngDd_bnftPln1,benefitplan,benefitPlanVersionID
benefitplantradingded,tradingPartnerProfileID,bnftPlnTrdngDd_trdngPrtnrPrfl1,tradingpartnerprofile,tradingPartnerProfileID
benefitplantradingmax,benefitPlanTradingPartnerID,bnftPlnTrdngMx_bnftPlnTrdngPrtnr1,benefitplantradingpartner,benefitPlanTradingPartnerID
benefitplantradingmax,benefitPlanVersionID,bnftPlnTrdngMx_bnftPln1,benefitplan,benefitPlanVersionID
benefitplantradingmax,tradingPartnerProfileID,bnftPlnTrdngMx_trdngPrtnrPrfl1,tradingpartnerprofile,tradingPartnerProfileID
benefitplantradingoop,benefitPlanTradingPartnerID,bnftPlnTrdngP_bnftPlnTrdngPrtnr1,benefitplantradingpartner,benefitPlanTradingPartnerID
benefitplantradingoop,benefitPlanVersionID,bnftPlnTrdngP_bnftPln1,benefitplan,benefitPlanVersionID
benefitplantradingoop,tradingPartnerProfileID,bnftPlnTrdngP_trdngPrtnrPrfl1,tradingpartnerprofile,tradingPartnerProfileID
benefitplantradingpartner,benefitPlanVersionID,bnftPlnTrdngPrtnr_bnftPln1,benefitplan,benefitPlanVersionID
benefitplantradingpartner,tradingPartnerID,bnftPlnTrdngPrtnr_trdngPrtnr1,tradingpartner,tradingPartnerID
benemax,benefitPlanVersionID,bnMx_bnftPln1,benefitplan,benefitPlanVersionID
