"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
statcorrectioncriteria,statCorrectionSubmissionID,sttCrrctnCrtr_sttCrrctnSbmssn1,statcorrectionsubmission,statCorrectionSubmissionID
stoplossledgeraggtx,stoplossLedgerAggID,stplssLdgrggTx_stplssLdgrgg1,stoplossledgeragg,stoplossLedgerAggID
stoplossledgerindivtx,stoplossLedgerIndivID,stplssLdgrndvTX_stplssLdgrndv1,stoplossledgerindiv,stoplossLedgerIndivID
stoplossledgerindivtxdetail,stoplossLedgerIndivID,stplssLdgrndvTxDtl_stplssLdgrndv1,stoplossledgerindiv,stoplossLedgerIndivID
stoplossledgerindivtxdetail,stoplossLedgerIndivTxID,stplssLdgrndvTxDtl_stplssLdgrndvTX1,stoplossledgerindivtx,stoplossLedgerIndivTxID
subpayrollfrequency,subsAffiliationID,sbPyrllFrqncy_sbsffltn1,subsaffiliation,subsAffiliationID
subsacctsettings,subsAffiliationID,sbscctSttngs_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffilextidcontopttype,subsAffiliationExternalIDID,sbsfflxtDCntptTyp_sbsffltnxtrnlD1,subsaffiliationexternalid,subsAffiliationExternalIDID
subsaffiliation834hist,subsAffiliationID,sbsffltn834Hst_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationatoccupation,memberID,sbsffltntccptn_sbsffltn1,subsaffiliation,memberID
subsaffiliationatoccupation,subsAffiliationID,sbsffltntccptn_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationattribute,memberID,sbsffltnttrbt_sbsffltn1,subsaffiliation,memberID
subsaffiliationattribute,memGroupID,sbsffltnttrbt_sbsffltn1,subsaffiliation,memGroupID
subsaffiliationattribute,subsAffiliationID,sbsffltnttrbt_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationbillgroup,memberID,sbsffltnBllGrp_sbsffltn1,subsaffiliation,memberID
subsaffiliationbillgroup,subsAffiliationID,sbsffltnBllGrp_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationbillingpref,memberID,sbsffltnBllngPrf_sbsffltn1,subsaffiliation,memberID
subsaffiliationbillingpref,subsAffiliationID,sbsffltnBllngPrf_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationestsetting,memberID,sbsffltnstSttng_sbsffltn1,subsaffiliation,memberID
subsaffiliationestsetting,subsAffiliationID,sbsffltnstSttng_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationevdofins,subsAffiliationID,sbsffltnvdfns_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationexternalid,memberID,sbsffltnxtrnlD_sbsffltn1,subsaffiliation,memberID
subsaffiliationexternalid,subsAffiliationID,sbsffltnxtrnlD_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationpaidthru,subsAffiliationID,sbsffltnPdThr_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationpopulation,memberID,sbsffltnPpltn_sbsffltn1,subsaffiliation,memberID
subsaffiliationpopulation,subsAffiliationID,sbsffltnPpltn_sbsffltn1,subsaffiliation,subsAffiliationID
subsaffiliationworkaddress,memberID,sbsffltnWrkddrss_sbsffltn1,subsaffiliation,memberID
subsaffiliationworkaddress,subsAffiliationID,sbsffltnWrkddrss_sbsffltn1,subsaffiliation,subsAffiliationID
subsbeneficiary,subsAffiliationID,sbsBnfcry_sbsffltn1,subsaffiliation,subsAffiliationID
subsbeneficiarymem,subsAffiliationID,sbsBnfcryMm_sbsffltn1,subsaffiliation,subsAffiliationID
subsbeneficiarymem,subsBeneficiaryID,sbsBnfcryMm_sbsBnfcry1,subsbeneficiary,subsBeneficiaryID
subsbeneficiaryparty,subsAffiliationID,sbsBnfcryPrty_sbsffltn1,subsaffiliation,subsAffiliationID
subsbeneficiaryparty,subsBeneficiaryID,sbsBnfcryPrty_sbsBnfcry1,subsbeneficiary,subsBeneficiaryID
subscriberidcard,memberID,sbscrbrDCrd_sbsffltn1,subsaffiliation,memberID
subscriberidcard,subsAffiliationID,sbscrbrDCrd_sbsffltn1,subsaffiliation,subsAffiliationID
subsjob,memberID,sbsJb_sbsffltn1,subsaffiliation,memberID
subsjob,memGroupID,sbsJb_sbsffltn1,subsaffiliation,memGroupID
subsjob,subsAffiliationID,sbsJb_sbsffltn1,subsaffiliation,subsAffiliationID
subsjob,subscriberID,sbsJb_sbsffltn1,subsaffiliation,subscriberID
subsjobincome,subsJobID,sbsJbncm_sbsJb1,subsjob,subsJobID
subsjobworkhours,subsJobID,sbsJbWrkHrs_sbsJb1,subsjob,subsJobID
subsmginfo,subsAffiliationID,sbsMGnf_sbsffltn1,subsaffiliation,subsAffiliationID
