"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
billgroupdtlinvsettingsummary,billGroupID,bllGrpDtlnvSttngSmmry_bllGrp1,billgroup,billGroupID
billgroupdtlpopulation,billGroupDtlID,bllGrpDtlPpltn_bllGrpDtl1,billgroupdtl,billGroupDtlID
billgroupdtlpopulation,billGroupID,bllGrpDtlPpltn_bllGrp1,billgroup,billGroupID
billgroupextidentifier,billGroupID,bllGrpxtdntfr_bllGrp1,billgroup,billGroupID
ledgerasltransactionstatus,memGroupContractOptID,ldgrslTrnsctnStts_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupactionevent,memGroupEventID,mmGrpctnvnt_mmGrpvnt1,memgroupevent,memGroupEventID
memgroupactionevent,memGroupID,mmGrpctnvnt_mmGrpvnt1,memgroupevent,memGroupID
memgroupactioneventmetadata,memGroupActionEventID,mmGrpctnvntMtdt_mmGrpctnvnt1,memgroupactionevent,memGroupActionEventID
memgroupactioneventmetadata,memGroupEventID,mmGrpctnvntMtdt_mmGrpctnvnt1,memgroupactionevent,memGroupEventID
memgroupactioneventmetadata,memGroupID,mmGrpctnvntMtdt_mmGrpctnvnt1,memgroupactionevent,memGroupID
memgroupactioneventpostprocess,memGroupActionEventID,mmGrpctnvntPstPrcss_mmGrpctnvnt1,memgroupactionevent,memGroupActionEventID
memgroupactioneventpostprocess,memGroupEventID,mmGrpctnvntPstPrcss_mmGrpctnvnt1,memgroupactionevent,memGroupEventID
memgroupactioneventpostprocess,memGroupID,mmGrpctnvntPstPrcss_mmGrpctnvnt1,memgroupactionevent,memGroupID
memgroupactioneventsuppression,memGroupID,mmGrpctnvntSpprssn_mmGrp1,memgroup,memGroupID
memgroupaddress,memGroupID,mmGrpddrss_mmGrp1,memgroup,memGroupID
memgroupaddresshours,memGroupAddressID,mmGrpddrssHrs_mmGrpddrss1,memgroupaddress,memGroupAddressID
memgroupaddresshours,memGroupID,mmGrpddrssHrs_mmGrpddrss1,memgroupaddress,memGroupID
memgroupaddressphone,memGroupAddressID,mmGrpddrssPhn_mmGrpddrss1,memgroupaddress,memGroupAddressID
memgroupaddressphone,memGroupID,mmGrpddrssPhn_mmGrpddrss1,memgroupaddress,memGroupID
memgroupaffil,memGroupID,mmGrpffl_mmGrp1,memgroup,memGroupID
memgroupaffilconfig,memGroupAffilID,mmGrpfflCnfg_mmGrpffl1,memgroupaffil,memGroupAffilID
memgroupaffilconfig,memGroupID,mmGrpfflCnfg_mmGrp1,memgroup,memGroupID
memgroupaffilexternalident,memGroupAffilID,mmGrpfflxtrnldnt_mmGrpffl1,memgroupaffil,memGroupAffilID
memgroupaffilexternalident,memGroupID,mmGrpfflxtrnldnt_mmGrp1,memgroup,memGroupID
memgroupalias,memGroupID,mmGrpls_mmGrp1,memgroup,memGroupID
memgroupattestation,memGroupID,mmGrpttsttn_mmGrp1,memgroup,memGroupID
memgroupattestationdetail,memGroupAttestationID,mmGrpttsttnDtl_mmGrpttsttn1,memgroupattestation,memGroupAttestationID
memgroupattestationdetail,memGroupID,mmGrpttsttnDtl_mmGrpttsttn1,memgroupattestation,memGroupID
memgroupattribusagesched,memGroupID,mmGrpttrbsgSchd_mmGrp1,memgroup,memGroupID
memgroupbanking,memGroupID,mmGrpBnkng_mmGrp1,memgroup,memGroupID
memgroupcontactaddress,memGroupContactID,mmGrpCntctddrss_mmGrpCntct1,memgroupcontact,memGroupContactID
memgroupcontactaddressphone,memGroupContactAddressID,mmGrpCntctddrssPhn_mmGrpCntctddrss1,memgroupcontactaddress,memGroupContactAddressID
memgroupcontactaddressphone,memGroupContactID,mmGrpCntctddrssPhn_mmGrpCntctddrss1,memgroupcontactaddress,memGroupContactID
memgroupcontactassignment,memGroupContactID,mmGrpCntctssgnmnt_mmGrpCntct1,memgroupcontact,memGroupContactID
memgroupcontactassignment,memGroupID,mmGrpCntctssgnmnt_mmGrp1,memgroup,memGroupID
memgroupcontacteleccomassign,memGroupContactAssignmentID,mmGrpCntctlcCmssgn_mmGrpCntctssgnmnt1,memgroupcontactassignment,memGroupContactAssignmentID
memgroupcontacteleccomassign,memGroupContactElectronicComID,mmGrpCntctlcCmssgn_mmGrpCntctlctrncCm1,memgroupcontactelectroniccom,memGroupContactElectronicComID
memgroupcontacteleccomassign,memGroupContactID,mmGrpCntctlcCmssgn_mmGrpCntct1,memgroupcontact,memGroupContactID
memgroupcontacteleccomassign,memGroupID,mmGrpCntctlcCmssgn_mmGrpCntctssgnmnt1,memgroupcontactassignment,memGroupID
memgroupcontactelectroniccom,memGroupContactID,mmGrpCntctlctrncCm_mmGrpCntct1,memgroupcontact,memGroupContactID
memgroupcontactphone,memGroupContactID,mmGrpCntctPhn_mmGrpCntct1,memgroupcontact,memGroupContactID
memgroupcontactphoneassign,memGroupContactAssignmentID,mmGrpCntctPhnssgn_mmGrpCntctssgnmnt1,memgroupcontactassignment,memGroupContactAssignmentID
